cover	numberOfChunks	nhop	treeType	queryFile	joinPattern	numberOfJoins	numberOfDataSources	selectivity	(slaveId	computationalEffortPerChunk)*
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	1	0.01	slave021:4710	12997	slave022:4710	14915	slave023:4710	7647	slave024:4710	10678	slave025:4710	8165	slave026:4710	16537	slave027:4710	13892	slave028:4710	13283	slave029:4710	11514	slave030:4710	24395
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-1-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	1	1	0.01	slave021:4710	9112	slave022:4710	13270	slave023:4710	13735	slave024:4710	8956	slave025:4710	5502	slave026:4710	13232	slave027:4710	13231	slave028:4710	13298	slave029:4710	9104	slave030:4710	5336
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.01	slave021:4710	125	slave022:4710	50	slave023:4710	6	slave024:4710	6	slave025:4710	8	slave026:4710	10	slave027:4710	8	slave028:4710	8	slave029:4710	6	slave030:4710	10
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-1-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	1	1	0.001	slave021:4710	113	slave022:4710	118	slave023:4710	144	slave024:4710	115	slave025:4710	125	slave026:4710	126	slave027:4710	140	slave028:4710	115	slave029:4710	119	slave030:4710	147
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	3	0.001	slave021:4710	1777621	slave022:4710	0	slave023:4710	2172921	slave024:4710	70059	slave025:4710	0	slave026:4710	0	slave027:4710	0	slave028:4710	0	slave029:4710	1688589	slave030:4710	0
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-3-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	3	0.001	slave021:4710	657244	slave022:4710	171722	slave023:4710	393020	slave024:4710	1161142	slave025:4710	190809	slave026:4710	97349	slave027:4710	1795004	slave028:4710	361232	slave029:4710	516677	slave030:4710	869507
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-3-0.01-0.09.sparql	SUBJECT_OBJECT_JOIN	7	3	0.01	slave021:4710	1086239	slave022:4710	1090426	slave023:4710	1087902	slave024:4710	1046755	slave025:4710	1093716	slave026:4710	2856309	slave027:4710	1096261	slave028:4710	1085519	slave029:4710	1087069	slave030:4710	1093127
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.001	slave021:4710	81	slave022:4710	1930706	slave023:4710	34141	slave024:4710	222098	slave025:4710	11385	slave026:4710	141	slave027:4710	1312310	slave028:4710	9010	slave029:4710	10009	slave030:4710	1923835
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_SUBJECT_JOIN-7-1-0.01-0.09.sparql	SUBJECT_SUBJECT_JOIN	7	1	0.01	slave021:4710	2621707	slave022:4710	155447	slave023:4710	1819000	slave024:4710	1519781	slave025:4710	2425188	slave026:4710	1913872	slave027:4710	2387385	slave028:4710	2109317	slave029:4710	1238081	slave030:4710	2591305
HASH	10	1000000000	0	RIGHT_LINEAR	query-SUBJECT_OBJECT_JOIN-7-1-0.001-0.009.sparql	SUBJECT_OBJECT_JOIN	7	1	0.001	slave021:4710	102355	slave022:4710	102370	slave023:4710	102168	slave024:4710	100748	slave025:4710	101611	slave026:4710	96833	slave027:4710	98108	slave028:4710	110536	slave029:4710	98933	slave030:4710	99676
