cover	numberOfChunks	numberOfTriples	nhop	initialEncodingTime	coverCreationTime	finalEncodingTime	nHopReplicationTime	statisticCollectionTime	ownershipAdjustmentTime	transferTime	indexingTime
HASH	10	1000000000	0	47848045	3426094	18739232	0	123154988	26359506	1883335	21056239
MOLECULE_HASH (diameter=2)	10	1000000000	0	54387062	42439733	1	0	49156539	16163381	19953	3100954
MOLECULE_HASH (diameter=3)	10	1000000000	0	56306707	43365777	1	0	48756147	14894202	75868	2974798
MOLECULE_HASH (diameter=4)	10	1000000000	0	52610281	43095470	1	0	39427663	14880452	95976	3465995
