cover	numberOfChunks	numberOfTriples	n-hop	chunkSizes*
HASH	10	1000000000	0	98824119	99889677	103089062	97784998	98218263	97741326	98181351	98562044	98508608	109200552
MOLECULE_HASH (diameter=2)	10	1000000000	0	102057025	99733901	98688691	97817606	99461634	103487126	100419389	97153409	98706256	102474963
MOLECULE_HASH (diameter=3)	10	1000000000	0	100810751	100834115	96917042	100158596	99187981	105876176	100953509	96402861	98492086	100366883
MOLECULE_HASH (diameter=4)	10	1000000000	0	101322152	102547208	100645610	97621944	98104189	99769779	99028594	99737816	99167221	102055487
